"epic","resolution","ts","open","high","low","close","volume"
"CC.D.CL.UNC.IP","MINUTE","1772674440","7402.4","7407.75","7377.25","7381","1493"
"CC.D.CL.UNC.IP","MINUTE","1772674500","7380.799999999999","7457.299999999999","7380.25","7446.5","6819"
"CC.D.CL.UNC.IP","MINUTE","1772674560","7446.700000000001","7463.1","7430.200000000001","7461.1","3049"
"CC.D.CL.UNC.IP","MINUTE","1772674620","7462.799999999999","7465.3","7429.8","7431.299999999999","1839"
"CC.D.CL.UNC.IP","MINUTE","1772674680","7432.299999999999","7433.75","7415.55","7425.200000000001","1264"
"CC.D.CL.UNC.IP","MINUTE","1772674740","7425","7427.450000000001","7407.700000000001","7424.700000000001","1486"
"CC.D.CL.UNC.IP","MINUTE","1772674800","7425.700000000001","7429.5","7407.1","7418.9","1099"
"CC.D.CL.UNC.IP","MINUTE","1772674860","7417.200000000001","7441.200000000001","7415","7437.4","1067"
"CC.D.CL.UNC.IP","MINUTE","1772674920","7437.299999999999","7439.5","7414.1","7422.200000000001","664"
"CC.D.CL.UNC.IP","MINUTE","1772674980","7422.700000000001","7432.85","7414.5","7432.299999999999","810"
"CC.D.CL.UNC.IP","MINUTE","1772675040","7432.5","7440.1","7429.85","7436.299999999999","769"
"CC.D.CL.UNC.IP","MINUTE","1772675100","7436.700000000001","7442.700000000001","7428.85","7436.299999999999","716"
"CC.D.CL.UNC.IP","MINUTE","1772675160","7436.1","7440.45","7427","7430.6","1207"
"CC.D.CL.UNC.IP","MINUTE","1772675220","7430.799999999999","7439.200000000001","7425.6","7430.4","808"
"CC.D.CL.UNC.IP","MINUTE","1772675280","7431.4","7440.25","7422.15","7428.200000000001","591"
"CC.D.CL.UNC.IP","MINUTE","1772675340","7427.5","7427.75","7417","7421","878"
"CC.D.CL.UNC.IP","MINUTE","1772675400","7421.799999999999","7423.1","7401.5","7406.799999999999","1371"
"CC.D.CL.UNC.IP","MINUTE","1772675460","7407.4","7412.85","7399.15","7402.1","619"
"CC.D.CL.UNC.IP","MINUTE","1772675520","7402.299999999999","7406.1","7396.5","7399.1","589"
"CC.D.CL.UNC.IP","MINUTE","1772675580","7398.9","7413","7396.9","7405.299999999999","596"
"CC.D.CL.UNC.IP","MINUTE","1772675640","7406.299999999999","7416.1","7391.799999999999","7394.1","975"
"CC.D.CL.UNC.IP","MINUTE","1772675700","7393.4","7404.65","7388.200000000001","7390.700000000001","800"
"CC.D.CL.UNC.IP","MINUTE","1772675760","7391","7391.5","7370.200000000001","7376.5","1041"
